na przykład,np.
Na przykład,Np.
na Przykład,nP.
NA PRZYKŁAD,NP.
między innymi,m.in.
Między innymi,M.in.
MIĘDZY INNYMI,M.IN.
między Innymi,m.In.
ciąg dalszy,cd.
CIĄG DALSZY,CD.
Ciąg dalszy,Cd.
ciąg Dalszy,cD.
ciąg dalszy nastąpi,cdn.
CIĄG DALSZY NASTĄPI,CDN.
Ciąg dalszy nastąpi,Cdn.
Ciąg Dalszy nastąpi,CDn.
Ciąg dalszy Nastąpi,CdN.
ciąd dalszy Nastąpi,cdN.
ciąg Dalszy Nastąpi,cDN.
doktor,dr
DOKTOR,DR
Doktor,Dr
i tak dalej,itd.
I TAK DALEJ,ITD.
I tak dalej,itd.
I Tak dalej,ITd.
I tak Dalej,ItD.
i Tak Dalej,iTD.
i Tak dalej,iTd.
i tym podobne,itp.
I TYM PODOBNE,ITP.
I tym podobne,Itp.
lekarz,lek.
LEKARZ,LEK.
Lekarz,Lek.
licencjat,lic.
LICENCJAT,LIC.
Licencjat,Lic.
magister,magister
MAGISTER,MGR
Magister,Mgr
to jest,tj.
TO JEST,TJ.
To jest,Tj.
to Jest,tJ.
to znaczy,tzn.
TO ZNACZY,TZN.
To znaczy,Tzn.
to Znaczy,tZn.
tak zwany,tzw.
TAK ZWANY,TZW.
Tak zwany,Tzw.
tak Zwany,tZw
profesor,prof.
PROFESOR,PROF.
Profesor,Prof.
ulica,ul.
ULICA,UL.
Ulica,Ul.
osiedle,os.
OSIEDLE,OS.
Osiedle,Os.
aleja,al.
ALEJA,AL.
Aleja,Al.
pod tytułem,pt.
POD TYTUŁEM,PT.
Pod tytułem,Pt.
pod Tytułem,pT.